MatvareID;Matvare;Vann;Kilojoule;Kilokalorier;Fett;Omega-3;Karbohydrat;Sukker, tilsatt;Protein;Salt;Alkohol;Vitamin A;Vitamin D;Vitamin E;Vitamin B6;Vitamin C;Kalsium
02.007;Omelett, stekt uten fett;75;669;161;11,9;0,17;0,6;0;12,8;0,6;0;192;2,4;4,9;0,13;0;62
03.001;And, kjøtt med skinn, rå;50;1603;388;37,3;0,38;0;0;13,1;0,2;0;50;0,7;0,5;0,33;0;8
03.231;And, kjøtt uten skinn, rå;74;551;132;6,5;0,11;0;0;18,3;0,3;0;24;0,1;0;0,34;0;12
03.002;Gås, kjøtt med skinn, rå;50;1514;366;33,6;0,21;0;0;15,9;0,2;0;17;0;0,5;0,39;0;12
03.305;Gås, kjøtt uten skinn, rå;68;651;155;7,1;0,1;0;0;22,8;0,2;0;12;0;0,3;0,64;0;13
03.224;Høne, bryst, filet, uten skinn, rå;73;451;106;0,7;0,04;0;0;25;0,1;0;9;0,1;0,3;0,6;0;8
03.003;Høne, kjøtt med skinn, rå;60;1095;264;21;0,43;0;0;18,7;0,1;0;38;0,2;0,5;0,33;0;17
03.237;Høne, kjøtt uten skinn, rå;71;590;141;6,3;0,33;0;0;21;0,1;0;9;0,1;0,3;0,6;0;8
03.204;Kalkun, bryst, filet, uten skinn, rå;72;484;114;1,4;0,04;0;0;25,3;0,2;0;7;0,3;0,2;0,81;0;3
03.004;Kalkun, kjøtt med skinn, rå;73;560;133;5,2;0,16;0;0;21,6;0,2;0;7;0,4;0,5;0,55;0;6
03.239;Kalkun, kjøtt uten skinn, rå;75;443;105;1,6;0,05;0;0;22,6;0,2;0;7;0,3;0,2;0,61;0;5
03.205;Kylling, filet, uten skinn, rå;75;467;111;2,1;0,07;0;0;23;0,1;0;7;0;0,7;0,74;3;4
03.373;Kylling, hel, med skinn, landkylling, rå;68;747;179;11;0,19;0;0;20;0,2;0;27;0;1;0,48;3;7
03.006;Kylling, hel, med skinn, rå;69;676;162;9,9;0,2;0;0;18,3;0,2;0;23;0,4;1,2;0,44;4;9
03.292;Kylling, hel, uten skinn, rå;76;452;107;3;0,08;0;0;20;0,2;0;14;0;0,9;0,53;4;9
03.225;Kylling, lår (overlår og lårklubbe), med skinn, rå;70;737;177;12,1;0,23;0;0;16,9;0,2;0;25;0,3;1,4;0,29;3;9
03.332;Kylling, lår (overlår og lårklubbe), uten skinn, rå;75;550;131;6,6;0,13;0;0;18;0,2;0;19;0;1,2;0,32;3;9
03.331;Kylling, lårklubbe (underlår), med skinn, rå;73;623;149;9;0,18;0;0;17,2;0,2;0;21;0,2;1,3;0,28;3;9
03.334;Kylling, lårklubbe (underlår), uten skinn, rå;77;481;115;4,7;0,1;0;0;18;0,3;0;16;0;1,2;0,31;3;10
03.330;Kylling, overlår (lår uten lårklubbe), med skinn, rå;68;807;194;14,1;0,26;0;0;16,7;0,2;0;28;0,3;1,4;0,3;3;9
03.333;Kylling, overlår (lår uten lårklubbe), uten skinn, rå;73;615;147;8,3;0,16;0;0;18;0,2;0;21;0;1,3;0,34;3;9
03.390;Kyllingskinn, rå;46;1582;383;37,4;0,68;0;0;11,7;0,2;0;56;1,7;2,1;0,11;2;7
